#Wave	#Intensity
1241.645508	11334.030273
1240.570312	11307.637695
1239.496094	11343.096680
1238.420898	11298.888672
1237.345703	11270.483398
1236.269531	11281.619141
1235.194336	11298.711914
1234.118164	11283.331055
1233.041992	11329.579102
1231.964844	11252.110352
1230.888672	11267.105469
1229.811523	11318.473633
1228.734375	11280.825195
1227.657227	11319.295898
1226.579102	11302.300781
1225.500977	11316.448242
1224.422852	11264.218750
1223.344727	11288.148438
1222.266602	11265.764648
1221.187500	11262.534180
1220.108398	11244.146484
1219.029297	11244.683594
1217.949219	11269.053711
1216.870117	11257.566406
1215.790039	11271.779297
1214.709961	11282.060547
1213.628906	11298.753906
1212.548828	11278.203125
1211.467773	11284.582031
1210.386719	11298.932617
1209.304688	11311.266602
1208.223633	11317.664062
1207.141602	11303.401367
1206.059570	11307.000000
1204.977539	11296.349609
1203.894531	11298.523438
1202.811523	11340.277344
1201.728516	11340.896484
1200.645508	11350.775391
1199.561523	11413.944336
1198.478516	11406.864258
1197.394531	11402.839844
1196.309570	11367.320312
1195.225586	11377.513672
1194.140625	11403.271484
1193.055664	11394.866211
1191.970703	11435.134766
1190.885742	11446.945312
1189.799805	11483.178711
1188.713867	11455.854492
1187.627930	11503.366211
1186.541016	11510.096680
1185.455078	11520.659180
1184.368164	11549.030273
1183.281250	11506.546875
1182.193359	11519.961914
1181.106445	11531.501953
1180.018555	11558.509766
1178.930664	11535.643555
1177.841797	11558.252930
1176.753906	11566.316406
1175.665039	11594.914062
1174.576172	11605.505859
1173.487305	11613.241211
1172.397461	11637.873047
1171.307617	11626.263672
1170.217773	11617.239258
1169.127930	11636.750977
1168.037109	11658.717773
1166.947266	11691.081055
1165.856445	11679.810547
1164.764648	11655.384766
1163.673828	11708.792969
1162.582031	11659.980469
1161.490234	11644.375000
1160.398438	11662.486328
1159.305664	11676.551758
1158.213867	11677.100586
1157.121094	11674.713867
1156.027344	11698.182617
1154.934570	11726.738281
1153.840820	11697.008789
1152.747070	11658.138672
1151.653320	11661.462891
1150.559570	11659.552734
1149.464844	11662.766602
1148.370117	11684.396484
1147.275391	11728.986328
1146.180664	11722.919922
1145.084961	11723.391602
1143.989258	11702.115234
1142.893555	11702.538086
1141.797852	11732.781250
1140.701172	11717.611328
1139.604492	11721.695312
1138.507812	11685.276367
1137.411133	11673.423828
1136.313477	11683.522461
1135.215820	11707.392578
1134.118164	11725.475586
1133.020508	11713.637695
1131.921875	11703.345703
1130.823242	11723.903320
1129.724609	11729.732422
1128.625977	11761.895508
1127.526367	11758.975586
1126.426758	11754.643555
1125.327148	11826.077148
1124.227539	11834.811523
1123.127930	11825.993164
1122.027344	11799.007812
1120.926758	11815.147461
1119.825195	11836.504883
1118.724609	11818.737305
1117.623047	11867.926758
1116.521484	11857.385742
1115.419922	11871.927734
1114.317383	11884.976562
1113.214844	11902.618164
1112.112305	11938.160156
1111.009766	11946.745117
1109.907227	11945.153320
1108.803711	11956.438477
1107.700195	11992.164062
1106.596680	11965.000000
1105.492188	11977.441406
1104.387695	11982.570312
1103.283203	12024.921875
1102.178711	12006.806641
1101.074219	12040.753906
1099.968750	12081.065430
1098.863281	12075.374023
1097.757812	12071.625000
1096.651367	12133.910156
1095.545898	12119.791992
1094.439453	12150.514648
1093.332031	12175.147461
1092.225586	12195.049805
1091.118164	12229.258789
1090.010742	12386.662109
1088.903320	12468.489258
1087.795898	12582.601562
1086.687500	12597.140625
1085.579102	12554.336914
1084.470703	12459.569336
1083.361328	12394.387695
1082.252930	12302.658203
1081.143555	12210.875977
1080.033203	12200.587891
1078.923828	12167.297852
1077.813477	12155.430664
1076.703125	12209.254883
1075.592773	12182.581055
1074.482422	12172.830078
1073.371094	12167.798828
1072.259766	12162.656250
1071.148438	12136.160156
1070.036133	12154.494141
1068.924805	12156.778320
1067.812500	12144.101562
1066.700195	12145.665039
1065.586914	12143.700195
1064.473633	12133.274414
1063.360352	12140.446289
1062.247070	12144.957031
1061.133789	12126.022461
1060.019531	12165.622070
1058.905273	12183.839844
1057.791016	12154.692383
1056.676758	12122.522461
1055.561523	12179.521484
1054.446289	12130.088867
1053.331055	12149.205078
1052.214844	12173.509766
1051.099609	12167.273438
1049.983398	12146.251953
1048.866211	12181.159180
1047.750000	12176.610352
1046.632812	12206.878906
1045.515625	12184.660156
1044.398438	12190.510742
1043.281250	12212.988281
1042.163086	12191.926758
1041.044922	12249.695312
1039.926758	12266.375977
1038.807617	12286.900391
1037.689453	12322.075195
1036.570312	12271.700195
1035.450195	12319.545898
1034.331055	12321.110352
1033.210938	12376.395508
1032.090820	12387.597656
1030.970703	12377.985352
1029.849609	12387.879883
1028.729492	12412.908203
1027.608398	12452.357422
1026.486328	12423.590820
1025.365234	12478.243164
1024.243164	12487.416016
1023.121094	12485.810547
1021.999023	12487.961914
1020.875977	12497.164062
1019.753906	12522.196289
1018.630859	12534.345703
1017.506836	12532.696289
1016.383789	12527.936523
1015.259766	12507.169922
1014.135742	12520.414062
1013.011719	12597.348633
1011.886719	12557.192383
1010.761719	12546.343750
1009.636719	12559.803711
1008.511719	12571.856445
1007.385742	12578.926758
1006.260742	12546.693359
1005.134766	12602.812500
1004.007812	12580.527344
