#Wave	#Intensity
1219.256836	24180.294922
1218.177734	24130.664062
1217.098633	24229.003906
1216.018555	24119.632812
1214.938477	24084.509766
1213.858398	24125.378906
1212.778320	24190.775391
1211.697266	24151.935547
1210.616211	24323.667969
1209.535156	24107.539062
1208.454102	24127.306641
1207.372070	24263.441406
1206.290039	24199.822266
1205.208008	24316.062500
1204.125977	24326.205078
1203.042969	24366.080078
1201.960938	24320.003906
1200.877930	24344.210938
1199.793945	24314.580078
1198.710938	24324.652344
1197.626953	24320.054688
1196.542969	24367.736328
1195.458984	24445.910156
1194.374023	24398.912109
1193.290039	24435.908203
1192.205078	24514.548828
1191.119141	24611.550781
1190.034180	24577.443359
1188.948242	24568.027344
1187.862305	24570.326172
1186.776367	24658.144531
1185.690430	24633.115234
1184.603516	24683.195312
1183.516602	24687.828125
1182.429688	24684.292969
1181.342773	24639.345703
1180.254883	24786.488281
1179.166992	24772.470703
1178.079102	24829.763672
1176.991211	24978.580078
1175.902344	24977.099609
1174.813477	24953.894531
1173.724609	24865.582031
1172.635742	24874.708984
1171.545898	24938.214844
1170.457031	24832.802734
1169.367188	24948.574219
1168.276367	24986.244141
1167.186523	25066.416016
1166.095703	24973.900391
1165.004883	25065.218750
1163.914062	25093.544922
1162.822266	25110.724609
1161.730469	25089.111328
1160.638672	25030.078125
1159.546875	25001.326172
1158.455078	25093.455078
1157.362305	25110.292969
1156.269531	25021.931641
1155.176758	25080.416016
1154.083008	25073.142578
1152.990234	25088.378906
1151.896484	25143.716797
1150.802734	25136.923828
1149.708008	25159.593750
1148.613281	25109.089844
1147.519531	25089.539062
1146.423828	25169.220703
1145.329102	25184.593750
1144.233398	25183.431641
1143.137695	25169.349609
1142.041992	25151.478516
1140.946289	25205.798828
1139.849609	25082.908203
1138.752930	25040.951172
1137.656250	25100.501953
1136.559570	25120.187500
1135.461914	25124.443359
1134.364258	25152.015625
1133.266602	25199.292969
1132.168945	25351.988281
1131.070312	25298.041016
1129.972656	25194.589844
1128.874023	25211.804688
1127.774414	25167.521484
1126.675781	25249.638672
1125.576172	25271.802734
1124.476562	25388.378906
1123.375977	25427.316406
1122.276367	25466.003906
1121.175781	25395.044922
1120.075195	25444.550781
1118.974609	25528.363281
1117.873047	25528.992188
1116.771484	25579.792969
1115.669922	25512.533203
1114.568359	25504.058594
1113.466797	25524.431641
1112.364258	25631.925781
1111.261719	25681.933594
1110.159180	25651.929688
1109.055664	25626.210938
1107.952148	25729.876953
1106.848633	25752.623047
1105.745117	25811.648438
1104.641602	25844.263672
1103.537109	25854.556641
1102.432617	25997.812500
1101.328125	26024.654297
1100.222656	26028.041016
1099.117188	25991.322266
1098.011719	26027.146484
1096.906250	26025.875000
1095.800781	26003.072266
1094.694336	26105.847656
1093.587891	26073.066406
1092.481445	26088.994141
1091.374023	26111.359375
1090.267578	26182.134766
1089.160156	26218.732422
1088.051758	26242.976562
1086.944336	26211.146484
1085.835938	26231.316406
1084.727539	26278.480469
1083.619141	26225.724609
1082.510742	26178.195312
1081.401367	26202.566406
1080.291992	26246.472656
1079.182617	26192.835938
1078.072266	26229.917969
1076.962891	26318.101562
1075.852539	26256.318359
1074.742188	26200.720703
1073.630859	26337.310547
1072.519531	26237.447266
1071.409180	26321.554688
1070.296875	26303.132812
1069.185547	26257.501953
1068.073242	26215.662109
1066.960938	26401.867188
1065.848633	26330.302734
1064.736328	26323.900391
1063.623047	26215.699219
1062.509766	26318.302734
1061.396484	26354.421875
1060.282227	26391.736328
1059.168945	26326.359375
1058.054688	26261.451172
1056.940430	26289.802734
1055.825195	26277.878906
1054.710938	26261.876953
1053.595703	26405.121094
1052.479492	26397.150391
1051.364258	26400.753906
1050.248047	26381.660156
1049.131836	26450.568359
1048.015625	26410.990234
1046.899414	26443.220703
1045.782227	26484.023438
1044.665039	26458.462891
1043.547852	26411.017578
1042.429688	26543.099609
1041.312500	26560.318359
1040.194336	26585.083984
1039.076172	26648.064453
1037.957031	26639.015625
1036.837891	26745.710938
1035.718750	26845.974609
1034.599609	26783.816406
1033.480469	26681.109375
1032.360352	26885.744141
1031.240234	26772.595703
1030.120117	26792.574219
1028.999023	26893.076172
1027.878906	26891.158203
1026.757812	26874.218750
1025.635742	26971.382812
1024.514648	26968.525391
1023.392578	27006.667969
1022.270508	27018.777344
1021.148438	26973.142578
1020.025391	27070.203125
1018.903320	27038.230469
1017.780273	27187.310547
1016.656250	27192.734375
1015.533203	27276.164062
1014.409180	27348.425781
1013.285156	27225.261719
1012.161133	27305.318359
1011.036133	27293.529297
1009.912109	27361.478516
1008.787109	27403.804688
1007.661133	27361.763672
1006.536133	27381.267578
1005.410156	27381.339844
1004.284180	27449.119141
1003.158203	27358.378906
1002.031250	27471.031250
