#Wave	#Intensity
1219.256836	3931.076904
1218.177734	3930.810059
1217.098633	3946.845215
1216.018555	3923.784424
1214.938477	3918.692139
1213.858398	3918.812988
1212.778320	3931.344971
1211.697266	3927.863037
1210.616211	3943.009521
1209.535156	3927.221924
1208.454102	3929.887939
1207.372070	3946.886963
1206.290039	3940.585938
1205.208008	3955.164307
1204.125977	3955.603760
1203.042969	3968.242432
1201.960938	3954.427246
1200.877930	3963.937256
1199.793945	3964.358154
1198.710938	3960.328369
1197.626953	3959.139404
1196.542969	3965.784912
1195.458984	3974.765381
1194.374023	3982.304932
1193.290039	3983.136230
1192.205078	3991.810059
1191.119141	4004.725586
1190.034180	3993.492432
1188.948242	3996.977539
1187.862305	4006.575684
1186.776367	4011.313965
1185.690430	4016.299561
1184.603516	4023.153320
1183.516602	4019.203125
1182.429688	4024.951660
1181.342773	4019.984375
1180.254883	4032.832275
1179.166992	4041.324463
1178.079102	4038.572021
1176.991211	4057.337402
1175.902344	4069.241699
1174.813477	4055.733398
1173.724609	4045.958740
1172.635742	4051.859131
1171.545898	4055.030762
1170.457031	4048.598877
1169.367188	4069.310791
1168.276367	4068.404785
1167.186523	4082.624756
1166.095703	4072.246582
1165.004883	4082.659668
1163.914062	4084.508789
1162.822266	4082.393799
1161.730469	4088.007324
1160.638672	4067.858643
1159.546875	4076.419678
1158.455078	4080.215576
1157.362305	4089.777344
1156.269531	4074.460693
1155.176758	4078.248779
1154.083008	4081.533936
1152.990234	4092.666260
1151.896484	4084.888184
1150.802734	4090.305908
1149.708008	4094.910889
1148.613281	4084.773682
1147.519531	4082.331543
1146.423828	4086.743652
1145.329102	4090.142822
1144.233398	4103.747070
1143.137695	4102.522949
1142.041992	4094.508545
1140.946289	4100.096680
1139.849609	4084.777344
1138.752930	4073.501465
1137.656250	4088.366455
1136.559570	4085.251953
1135.461914	4091.833008
1134.364258	4099.069824
1133.266602	4099.153320
1132.168945	4118.880371
1131.070312	4105.885254
1129.972656	4092.617432
1128.874023	4103.308105
1127.774414	4103.898438
1126.675781	4101.754883
1125.576172	4115.358398
1124.476562	4126.598633
1123.375977	4127.561523
1122.276367	4144.187988
1121.175781	4132.990723
1120.075195	4132.576172
1118.974609	4154.877441
1117.873047	4149.596680
1116.771484	4157.298828
1115.669922	4154.971680
1114.568359	4143.989746
1113.466797	4158.921387
1112.364258	4172.237793
1111.261719	4169.324707
1110.159180	4175.013672
1109.055664	4175.504395
1107.952148	4177.632324
1106.848633	4189.644531
1105.745117	4207.472656
1104.641602	4203.592285
1103.537109	4204.800781
1102.432617	4237.218750
1101.328125	4235.050781
1100.222656	4234.232422
1099.117188	4225.296387
1098.011719	4235.155273
1096.906250	4243.140625
1095.800781	4228.326172
1094.694336	4247.854492
1093.587891	4246.303223
1092.481445	4243.068359
1091.374023	4244.614258
1090.267578	4252.575195
1089.160156	4260.022461
1088.051758	4262.464844
1086.944336	4268.219238
1085.835938	4263.361816
1084.727539	4270.569336
1083.619141	4264.765625
1082.510742	4254.936523
1081.401367	4263.855957
1080.291992	4268.445312
1079.182617	4257.913574
1078.072266	4262.633301
1076.962891	4276.481445
1075.852539	4271.303711
1074.742188	4256.930664
1073.630859	4276.920410
1072.519531	4268.370605
1071.409180	4270.179199
1070.296875	4274.069336
1069.185547	4263.549316
1068.073242	4258.313965
1066.960938	4286.377441
1065.848633	4275.353027
1064.736328	4270.311035
1063.623047	4263.870117
1062.509766	4274.124023
1061.396484	4271.594727
1060.282227	4290.409668
1059.168945	4278.454590
1058.054688	4262.870605
1056.940430	4279.378906
1055.825195	4266.105957
1054.710938	4264.977539
1053.595703	4289.929199
1052.479492	4284.234375
1051.364258	4278.602539
1050.248047	4290.929688
1049.131836	4291.626953
1048.015625	4285.348633
1046.899414	4296.042480
1045.782227	4299.370605
1044.665039	4295.707031
1043.547852	4299.033203
1042.429688	4308.338867
1041.312500	4309.059082
1040.194336	4322.781738
1039.076172	4319.226562
1037.957031	4320.154785
1036.837891	4340.682617
1035.718750	4349.763672
1034.599609	4343.596191
1033.480469	4336.654785
1032.360352	4358.687500
1031.240234	4339.576172
1030.120117	4356.875977
1028.999023	4364.109863
1027.878906	4362.761719
1026.757812	4363.231934
1025.635742	4368.409668
1024.514648	4370.941895
1023.392578	4383.966309
1022.270508	4379.418457
1021.148438	4378.519531
1020.025391	4390.099121
1018.903320	4385.149414
1017.780273	4402.539062
1016.656250	4414.261230
1015.533203	4421.027344
1014.409180	4432.402832
1013.285156	4411.790039
1012.161133	4426.330566
1011.036133	4416.206543
1009.912109	4427.847656
1008.787109	4432.437012
1007.661133	4433.907715
1006.536133	4437.224121
1005.410156	4430.056152
1004.284180	4446.267578
1003.158203	4438.132324
1002.031250	4447.177246
1000.904297	4444.722168
999.777344	4452.482910
998.650391	4442.374023
997.522461	4439.455078
996.394531	4444.822754
995.266602	4449.001465
994.138672	4433.631348
993.009766	4436.734375
991.881836	4426.724609
990.751953	4426.246582
989.623047	4453.472656
988.493164	4442.920410
987.364258	4434.616211
986.233398	4439.861816
985.103516	4439.753906
983.972656	4443.621094
982.841797	4436.681152
981.710938	4451.280273
980.580078	4441.131348
979.448242	4457.329102
978.316406	4449.263184
977.184570	4464.363770
976.052734	4464.926270
974.919922	4450.944824
973.787109	4453.388672
972.654297	4457.714355
971.520508	4476.227051
970.387695	4464.889648
969.253906	4473.352051
968.119141	4484.160645
