#Wave	#Intensity
1241.677734	2840.082031
1240.603516	2838.941895
1239.528320	2849.262939
1238.453125	2834.627441
1237.377930	2826.881836
1236.302734	2824.583496
1235.226562	2830.064209
1234.150391	2828.070312
1233.074219	2840.220947
1231.998047	2825.531982
1230.920898	2824.714600
1229.843750	2838.545898
1228.766602	2829.181396
1227.689453	2840.243652
1226.612305	2833.219482
1225.534180	2837.879883
1224.456055	2827.438965
1223.377930	2829.731445
1222.298828	2827.280029
1221.220703	2825.284668
1220.141602	2816.288818
1219.061523	2820.736572
1217.982422	2828.989990
1216.902344	2822.393555
1215.822266	2822.288086
1214.742188	2828.397461
1213.662109	2840.147949
1212.581055	2828.878174
1211.500000	2820.987793
1210.418945	2825.315674
1209.337891	2838.371582
1208.255859	2830.890869
1207.174805	2839.096436
1206.092773	2834.420654
1205.009766	2830.873291
1203.927734	2834.499023
1202.844727	2843.864014
1201.761719	2838.455322
1200.678711	2842.759277
1199.594727	2855.430176
1198.510742	2858.576904
1197.426758	2855.398438
1196.342773	2848.388184
1195.258789	2848.441162
1194.173828	2857.291260
1193.088867	2851.663818
1192.003906	2864.244873
1190.917969	2861.172363
1189.833008	2875.669678
1188.747070	2872.637451
1187.661133	2880.736572
1186.574219	2883.774902
1185.488281	2886.536133
1184.401367	2889.259766
1183.314453	2884.216797
1182.226562	2889.421631
1181.139648	2885.579834
1180.051758	2894.057129
1178.963867	2897.543457
1177.875000	2889.047607
1176.787109	2903.582275
1175.698242	2904.480713
1174.609375	2911.813477
1173.519531	2912.678467
1172.430664	2917.668457
1171.340820	2910.219971
1170.250977	2908.965332
1169.161133	2915.573486
1168.070312	2924.141357
1166.979492	2928.382080
1165.888672	2929.266846
1164.797852	2931.946533
1163.707031	2944.181152
1162.615234	2932.791504
1161.523438	2930.482910
1160.431641	2935.770508
1159.338867	2938.300537
1158.247070	2931.598633
1157.154297	2939.129639
1156.060547	2933.902344
1154.967773	2944.321533
1153.874023	2937.019287
1152.780273	2918.641113
1151.686523	2926.661377
1150.592773	2926.406006
1149.498047	2921.538086
1148.403320	2924.899170
1147.308594	2932.116211
1146.213867	2937.303467
1145.118164	2943.937012
1144.022461	2932.060791
1142.926758	2923.646729
1141.831055	2932.833252
1140.734375	2931.473145
1139.637695	2932.971191
1138.541016	2920.486328
1137.444336	2919.906250
1136.346680	2923.890625
1135.249023	2932.024902
1134.151367	2936.374756
1133.053711	2928.637939
1131.955078	2927.300293
1130.856445	2930.126221
1129.757812	2932.231445
1128.659180	2939.406494
1127.559570	2935.298096
1126.460938	2935.135254
1125.361328	2954.088379
1124.260742	2956.595703
1123.161133	2952.773682
1122.060547	2952.647461
1120.959961	2954.916748
1119.859375	2963.150146
1118.757812	2948.575928
1117.656250	2960.369629
1116.554688	2962.824219
1115.453125	2958.600586
1114.350586	2964.829834
1113.249023	2971.128174
1112.146484	2979.200439
1111.042969	2983.818115
1109.940430	2982.055420
1108.836914	2981.700684
1107.733398	2992.505371
1106.629883	2985.620850
1105.526367	2986.466797
1104.421875	2985.619629
1103.317383	2996.270020
1102.212891	2991.403564
1101.107422	2994.791504
1100.001953	3011.511719
1098.896484	3011.282227
1097.791016	3007.110352
1096.685547	3022.774658
1095.579102	3015.100098
1094.472656	3020.722656
1093.366211	3021.388184
1092.258789	3014.070312
1091.152344	3016.169678
1090.044922	3032.080566
1088.936523	3026.416260
1087.829102	3030.177490
1086.720703	3026.426270
1085.612305	3030.521729
1084.503906	3029.017578
1083.395508	3045.417725
