#Wave	#Intensity
1241.645508	2006.059570
1240.570312	2003.285400
1239.496094	2007.494629
1238.420898	1997.637085
1237.345703	1998.884033
1236.269531	1997.862427
1235.194336	1999.061401
1234.118164	2001.854858
1233.041992	2011.509155
1231.964844	1989.887695
1230.888672	1992.271973
1229.811523	1998.550537
1228.734375	1995.957397
1227.657227	2001.273193
1226.579102	1999.602539
1225.500977	2002.175415
1224.422852	1995.765381
1223.344727	2001.578857
1222.266602	1994.098389
1221.187500	1988.301025
1220.108398	1989.533447
1219.029297	1991.403564
1217.949219	1995.961060
1216.870117	1991.496216
1215.790039	1990.075806
1214.709961	1993.260986
1213.628906	2001.832275
1212.548828	1995.504395
1211.467773	1997.479248
1210.386719	1990.355713
1209.304688	1996.836548
1208.223633	1998.668579
1207.141602	1996.835938
1206.059570	1997.686035
1204.977539	1997.919922
1203.894531	1992.155762
1202.811523	2003.231567
1201.728516	2003.307373
1200.645508	2004.050293
1199.561523	2016.340576
1198.478516	2015.100220
1197.394531	2012.766602
1196.309570	2010.918091
1195.225586	2008.580933
1194.140625	2016.775146
1193.055664	2006.943237
1191.970703	2016.190308
1190.885742	2021.708618
1189.799805	2031.868774
1188.713867	2019.015381
1187.627930	2028.880371
1186.541016	2034.645264
1185.455078	2034.717529
1184.368164	2032.529785
1183.281250	2030.612915
1182.193359	2029.428955
1181.106445	2036.588623
1180.018555	2036.893433
1178.930664	2038.355225
1177.841797	2041.922729
1176.753906	2039.989990
1175.665039	2045.972168
1174.576172	2048.876709
1173.487305	2055.688721
1172.397461	2050.867432
1171.307617	2049.913574
1170.217773	2051.021973
1169.127930	2060.810303
1168.037109	2058.057617
1166.947266	2062.911377
1165.856445	2060.366455
1164.764648	2056.792480
1163.673828	2064.260742
1162.582031	2055.814697
1161.490234	2056.603271
1160.398438	2057.013916
1159.305664	2052.560059
1158.213867	2062.506592
1157.121094	2061.912842
1156.027344	2060.379150
1154.934570	2073.730957
1153.840820	2068.802490
1152.747070	2057.939209
1151.653320	2058.296387
1150.559570	2052.620605
1149.464844	2055.475586
1148.370117	2059.809326
1147.275391	2065.982178
1146.180664	2063.660645
1145.084961	2068.375977
1143.989258	2068.770508
1142.893555	2063.558838
1141.797852	2066.689453
1140.701172	2062.839844
1139.604492	2064.759033
1138.507812	2054.584473
1137.411133	2057.528320
1136.313477	2055.289062
1135.215820	2065.407959
1134.118164	2064.746826
1133.020508	2061.622559
1131.921875	2054.515137
1130.823242	2062.250000
1129.724609	2061.476562
1128.625977	2068.188965
1127.526367	2068.698486
1126.426758	2068.313965
1125.327148	2073.346191
1124.227539	2078.124756
1123.127930	2078.944092
1122.027344	2075.529785
1120.926758	2075.651367
1119.825195	2076.306152
1118.724609	2069.699463
1117.623047	2078.978027
1116.521484	2075.894775
1115.419922	2080.217285
1114.317383	2080.695557
1113.214844	2086.864014
1112.112305	2094.135986
1111.009766	2096.745361
1109.907227	2095.248291
1108.803711	2095.440430
