#Wave	#Intensity
1219.256836	3480.293457
1218.177734	3482.056396
1217.098633	3491.818359
1216.018555	3473.944580
1214.938477	3472.332520
1213.858398	3466.006104
1212.778320	3468.733643
1211.697266	3476.564209
1210.616211	3486.151611
1209.535156	3462.713379
1208.454102	3469.088135
1207.372070	3480.105713
1206.290039	3474.114990
1205.208008	3489.071289
1204.125977	3489.486816
1203.042969	3497.402100
1201.960938	3478.078613
1200.877930	3490.741943
1199.793945	3484.088379
1198.710938	3482.091064
1197.626953	3482.282471
1196.542969	3487.463867
1195.458984	3491.793701
1194.374023	3496.298584
1193.290039	3498.823242
1192.205078	3501.544434
1191.119141	3513.406250
1190.034180	3503.086426
1188.948242	3502.101318
1187.862305	3509.461914
1186.776367	3514.620117
1185.690430	3518.502686
1184.603516	3526.607910
1183.516602	3519.882080
1182.429688	3521.755371
1181.342773	3513.719482
1180.254883	3527.897461
1179.166992	3529.777588
1178.079102	3529.591064
1176.991211	3543.704102
1175.902344	3545.703369
1174.813477	3542.276855
1173.724609	3529.114014
1172.635742	3533.841309
1171.545898	3539.151855
1170.457031	3524.132324
1169.367188	3539.389160
1168.276367	3541.182861
1167.186523	3547.408203
1166.095703	3540.982910
1165.004883	3550.621338
1163.914062	3549.119141
1162.822266	3550.379883
1161.730469	3544.056885
1160.638672	3532.647705
1159.546875	3534.086426
1158.455078	3537.204590
1157.362305	3541.876709
1156.269531	3536.103760
1155.176758	3536.398193
1154.083008	3533.748047
1152.990234	3541.823975
1151.896484	3539.560791
1150.802734	3535.270020
1149.708008	3540.295166
1148.613281	3531.181641
1147.519531	3524.212402
1146.423828	3534.656006
1145.329102	3526.708984
1144.233398	3541.879150
1143.137695	3537.876221
1142.041992	3532.442383
1140.946289	3547.260498
1139.849609	3529.187988
1138.752930	3511.581299
1137.656250	3520.622803
1136.559570	3518.697510
1135.461914	3520.240967
1134.364258	3529.253418
1133.266602	3526.864014
1132.168945	3540.323975
1131.070312	3540.626465
1129.972656	3524.053711
1128.874023	3525.983154
1127.774414	3527.048584
1126.675781	3529.951904
1125.576172	3534.954590
1124.476562	3553.668945
1123.375977	3541.553955
1122.276367	3550.409424
1121.175781	3545.452881
1120.075195	3545.633545
1118.974609	3562.180176
1117.873047	3555.403320
1116.771484	3558.282471
1115.669922	3555.881104
1114.568359	3550.000977
1113.466797	3553.780518
1112.364258	3573.785400
1111.261719	3571.304932
1110.159180	3565.507568
1109.055664	3567.134766
1107.952148	3574.196045
1106.848633	3579.964600
1105.745117	3582.292969
1104.641602	3581.525635
1103.537109	3586.689941
1102.432617	3611.216309
1101.328125	3608.239746
1100.222656	3609.750732
1099.117188	3603.474854
1098.011719	3603.586182
1096.906250	3614.344482
1095.800781	3600.438477
1094.694336	3609.788574
1093.587891	3611.127197
1092.481445	3610.271240
1091.374023	3609.114502
1090.267578	3609.809082
1089.160156	3622.852295
1088.051758	3629.792969
1086.944336	3625.395508
1085.835938	3624.286377
1084.727539	3627.849121
1083.619141	3616.013184
1082.510742	3614.793945
1081.401367	3613.020264
1080.291992	3617.710938
1079.182617	3607.418457
1078.072266	3607.930908
1076.962891	3620.345459
1075.852539	3615.438477
1074.742188	3609.791260
1073.630859	3620.803467
1072.519531	3609.063721
1071.409180	3607.526123
1070.296875	3603.281494
1069.185547	3600.561768
1068.073242	3596.426758
1066.960938	3619.477539
1065.848633	3602.656250
1064.736328	3599.689453
1063.623047	3598.534912
1062.509766	3604.101074
1061.396484	3602.631348
1060.282227	3610.378662
1059.168945	3603.038086
1058.054688	3587.298340
1056.940430	3601.487793
1055.825195	3594.801514
1054.710938	3583.413330
1053.595703	3612.524414
1052.479492	3603.455078
1051.364258	3597.648926
1050.248047	3603.624023
1049.131836	3606.631836
1048.015625	3596.493408
1046.899414	3603.394531
1045.782227	3604.003418
1044.665039	3608.311279
1043.547852	3609.676270
1042.429688	3613.945312
1041.312500	3612.337891
1040.194336	3623.643311
1039.076172	3619.721924
1037.957031	3616.478027
1036.837891	3633.068115
1035.718750	3636.890625
1034.599609	3630.295166
1033.480469	3626.929688
1032.360352	3648.573975
1031.240234	3631.595215
1030.120117	3637.484131
1028.999023	3646.876953
1027.878906	3647.414307
1026.757812	3645.352539
1025.635742	3657.848633
1024.514648	3653.524414
1023.392578	3660.954102
1022.270508	3657.717529
1021.148438	3646.306885
1020.025391	3663.364502
1018.903320	3656.689209
1017.780273	3670.066406
1016.656250	3672.384277
1015.533203	3677.766113
1014.409180	3688.084473
1013.285156	3666.656250
1012.161133	3678.272705
1011.036133	3676.537842
1009.912109	3688.387207
1008.787109	3695.187256
1007.661133	3686.514404
1006.536133	3690.050537
1005.410156	3687.781982
1004.284180	3696.981934
1003.158203	3685.222168
1002.031250	3692.849121
1000.904297	3694.684814
999.777344	3691.253906
998.650391	3688.255127
997.522461	3682.137451
996.394531	3682.005127
995.266602	3687.423584
994.138672	3681.274170
993.009766	3676.513184
991.881836	3668.412598
990.751953	3664.136230
989.623047	3690.051025
988.493164	3677.247803
987.364258	3671.666992
986.233398	3667.492432
985.103516	3672.176270
983.972656	3668.302490
982.841797	3661.658691
981.710938	3683.373291
980.580078	3673.868652
979.448242	3681.877930
978.316406	3682.479736
977.184570	3682.277832
976.052734	3687.077637
974.919922	3670.885498
973.787109	3671.832031
972.654297	3673.261230
971.520508	3685.416260
970.387695	3682.308350
969.253906	3688.414551
968.119141	3695.956543
966.985352	3678.287354
965.850586	3693.506836
964.715820	3692.140625
