#Wave	#Intensity
1286.597656	2085.387207
1285.532227	2084.009277
1284.466797	2092.895508
1283.401367	2087.907715
1282.334961	2082.699463
1281.269531	2089.467041
1280.203125	2086.749023
1279.135742	2089.987061
1278.069336	2094.377441
1277.001953	2090.024902
1275.934570	2099.978027
1274.867188	2108.657715
1273.799805	2104.748535
1272.731445	2111.123535
1271.663086	2108.203613
1270.594727	2114.315918
1269.526367	2109.732178
1268.457031	2120.484131
1267.387695	2115.922119
1266.318359	2122.364746
1265.249023	2119.567139
1264.178711	2119.878906
1263.108398	2129.962158
1262.038086	2126.647461
1260.967773	2133.428223
1259.896484	2132.513184
1258.826172	2137.159912
1257.754883	2137.761963
1256.682617	2137.383545
1255.611328	2139.955322
1254.539062	2150.374023
1253.466797	2147.080566
1252.394531	2151.343750
1251.322266	2151.046387
1250.249023	2154.222412
1249.175781	2146.247803
1248.102539	2154.667725
1247.029297	2158.945068
1245.955078	2155.007080
1244.880859	2167.209717
1243.806641	2163.602539
1242.732422	2167.148438
1241.657227	2156.098633
1240.583008	2159.665283
1239.507812	2159.617676
1238.431641	2153.369385
1237.356445	2165.925537
1236.280273	2159.898926
1235.204102	2169.567627
1234.127930	2165.719482
1233.050781	2163.498535
1231.974609	2169.992676
1230.897461	2168.447754
1229.819336	2170.708496
1228.742188	2164.086426
1227.664062	2160.814697
1226.586914	2165.976807
1225.507812	2161.276123
1224.429688	2165.289062
1223.350586	2159.172119
1222.272461	2162.717773
1221.192383	2167.737061
1220.113281	2168.480469
1219.034180	2171.310303
1217.954102	2171.022461
1216.874023	2166.688477
1215.792969	2170.127930
1214.712891	2173.246826
1213.631836	2177.811279
1212.550781	2187.941406
1211.469727	2180.422607
1210.387695	2178.252930
1209.306641	2186.094727
1208.224609	2178.205322
1207.141602	2175.708252
1206.059570	2181.234619
1204.976562	2182.628174
1203.893555	2187.926025
1202.810547	2189.614502
1201.727539	2195.085449
1200.643555	2208.802002
1199.559570	2203.681152
1198.475586	2195.906006
1197.391602	2200.677979
1196.306641	2199.351562
1195.221680	2203.969238
1194.136719	2214.600342
1193.051758	2223.551514
1191.965820	2224.347900
1190.879883	2226.147705
1189.793945	2223.854736
1188.708008	2224.587891
1187.621094	2237.361572
1186.534180	2234.880371
1185.447266	2241.059326
1184.360352	2234.849121
1183.273438	2237.712402
1182.185547	2244.690918
1181.097656	2251.889404
1180.009766	2256.874023
1178.920898	2253.965820
1177.832031	2257.339844
1176.743164	2258.404785
1175.654297	2255.958984
1174.565430	2260.941895
1173.475586	2266.798340
1172.385742	2270.247803
1171.295898	2281.921631
1170.205078	2284.382080
1169.115234	2278.174072
1168.024414	2271.761719
1166.933594	2279.289062
1165.841797	2277.892822
1164.750977	2270.061279
1163.659180	2280.433594
1162.566406	2276.519287
1161.474609	2274.818848
1160.381836	2279.698975
1159.290039	2284.520020
1158.196289	2287.463135
1157.103516	2290.296631
1156.010742	2287.902344
1154.916992	2281.740234
1153.823242	2287.339111
1152.728516	2284.079834
1151.634766	2284.128906
1150.540039	2282.336426
1149.445312	2286.320801
1148.349609	2276.530762
1147.254883	2278.627441
1146.159180	2286.830566
1145.063477	2286.666992
1143.967773	2283.705811
1142.871094	2292.921875
1141.774414	2287.040527
1140.677734	2289.234131
1139.581055	2288.791504
1138.484375	2284.226562
1137.386719	2281.762695
1136.289062	2293.512451
1135.191406	2293.320312
1134.092773	2292.927734
1132.994141	2286.073486
1131.895508	2296.141113
1130.796875	2293.265869
1129.698242	2305.464111
1128.598633	2302.397949
1127.499023	2290.346436
1126.399414	2301.089111
1125.298828	2295.643799
1124.199219	2297.076660
1123.098633	2307.574463
1121.998047	2306.018799
1120.896484	2305.089111
1119.794922	2310.666016
1118.693359	2317.542236
1117.591797	2312.950928
1116.490234	2321.550049
1115.387695	2320.263672
1114.285156	2323.249023
1113.182617	2326.330322
1112.080078	2329.829834
1110.976562	2325.844727
1109.873047	2335.032471
1108.769531	2331.196289
1107.665039	2334.440186
1106.561523	2343.578613
1105.457031	2346.818359
1104.352539	2347.572021
1103.247070	2345.075195
1102.142578	2356.609131
1101.037109	2345.692871
1099.931641	2356.184570
1098.825195	2356.306641
1097.719727	2356.387451
1096.613281	2351.344238
1095.506836	2357.793945
1094.399414	2360.552246
1093.292969	2369.393555
1092.185547	2367.369873
1091.078125	2363.537109
1089.969727	2363.742432
1088.862305	2363.341309
1087.753906	2372.691162
