#Wave	#Intensity
1286.597656	92.273399
1285.532227	92.024284
1284.466797	92.539597
1283.401367	91.682487
1282.334961	91.747406
1281.269531	92.437187
1280.203125	92.628975
1279.135742	92.804802
1278.069336	93.155182
1277.001953	92.399559
1275.934570	92.903282
1274.867188	93.560158
1273.799805	92.952980
1272.731445	93.445663
1271.663086	93.113602
1270.594727	93.838547
1269.526367	93.686165
1268.457031	94.384247
1267.387695	94.068092
1266.318359	94.512352
1265.249023	94.581635
1264.178711	93.648170
1263.108398	94.234673
1262.038086	94.741798
1260.967773	93.888000
1259.896484	94.141869
1258.826172	95.650291
1257.754883	95.703377
1256.682617	94.713081
1255.611328	95.351120
1254.539062	94.645744
1253.466797	95.251915
1252.394531	95.215492
1251.322266	95.168564
1250.249023	94.979553
1249.175781	95.527229
1248.102539	95.727478
1247.029297	95.922371
1245.955078	95.444153
1244.880859	96.154190
1243.806641	96.285782
1242.732422	96.459351
1241.657227	95.582138
1240.583008	95.918594
1239.507812	95.756035
1238.431641	96.176300
1237.356445	97.152763
1236.280273	97.766701
1235.204102	97.310051
1234.127930	97.530258
1233.050781	97.655968
1231.974609	98.678215
1230.897461	98.541504
1229.819336	98.724548
1228.742188	97.623741
1227.664062	97.723076
1226.586914	98.047577
1225.507812	97.759262
1224.429688	97.476303
1223.350586	97.821564
1222.272461	97.046799
1221.192383	96.157265
1220.113281	96.120720
1219.034180	95.780869
1217.954102	96.282951
1216.874023	96.957314
1215.792969	95.525200
1214.712891	96.669678
1213.631836	97.014389
1212.550781	96.183807
1211.469727	95.828751
1210.387695	95.860161
1209.306641	97.306030
1208.224609	96.189072
1207.141602	96.100372
1206.059570	95.886528
1204.976562	95.109558
1203.893555	96.371506
1202.810547	96.757172
1201.727539	96.444328
1200.643555	97.163261
1199.559570	96.079483
1198.475586	96.459648
1197.391602	96.751122
1196.306641	96.464615
1195.221680	97.281624
1194.136719	97.577919
1193.051758	97.619156
1191.965820	97.993248
1190.879883	98.242378
1189.793945	97.446373
1188.708008	97.716286
1187.621094	98.282295
1186.534180	98.614243
1185.447266	98.561646
1184.360352	98.155914
1183.273438	98.160538
1182.185547	99.011322
1181.097656	99.368668
1180.009766	100.462685
1178.920898	99.200958
1177.832031	98.686653
1176.743164	99.443024
1175.654297	99.483612
1174.565430	99.596741
1173.475586	100.248756
1172.385742	101.781258
1171.295898	101.676239
1170.205078	102.632904
1169.115234	103.542549
1168.024414	103.426834
1166.933594	107.658501
1165.841797	111.417458
1164.750977	115.459290
1163.659180	112.786087
1162.566406	114.783348
1161.474609	116.536751
1160.381836	118.325569
1159.290039	117.199120
1158.196289	116.476135
1157.103516	114.183220
1156.010742	111.023712
1154.916992	107.855255
1153.823242	106.912941
1152.728516	103.731262
1151.634766	103.569344
1150.540039	102.633720
1149.445312	102.430840
1148.349609	101.681480
1147.254883	102.118118
1146.159180	101.467064
1145.063477	100.713226
1143.967773	101.443428
1142.871094	100.550842
1141.774414	99.591698
1140.677734	100.270157
1139.581055	100.582855
1138.484375	100.180092
1137.386719	99.257851
1136.289062	100.187813
1135.191406	99.826523
1134.092773	98.987213
1132.994141	98.605766
1131.895508	99.355148
1130.796875	99.806183
1129.698242	100.087479
1128.598633	99.454430
1127.499023	99.011642
1126.399414	98.851402
1125.298828	98.650162
1124.199219	98.572166
1123.098633	99.510017
1121.998047	98.872749
1120.896484	99.610115
1119.794922	100.321518
1118.693359	99.781860
1117.591797	99.524300
1116.490234	99.861198
1115.387695	99.752281
1114.285156	99.730461
1113.182617	100.118279
1112.080078	101.171410
1110.976562	99.915810
1109.873047	100.687080
1108.769531	99.841393
1107.665039	100.382164
1106.561523	100.457352
1105.457031	100.609184
1104.352539	100.858063
1103.247070	100.830864
1102.142578	100.956947
1101.037109	99.954094
1099.931641	101.837082
1098.825195	101.523743
1097.719727	100.347839
1096.613281	101.719116
1095.506836	101.217201
1094.399414	102.118355
1093.292969	102.004166
1092.185547	102.563095
1091.078125	103.295113
1089.969727	102.885094
1088.862305	103.514786
1087.753906	104.567047
1086.645508	104.279243
1085.536133	105.524368
1084.427734	107.756645
1083.318359	107.768623
1082.208984	110.116463
1081.098633	110.132988
1079.989258	109.305099
1078.878906	108.370758
1077.768555	106.140259
1076.657227	106.101700
1075.546875	104.436798
1074.435547	104.566292
1073.324219	104.238510
1072.211914	104.667633
1071.100586	105.396149
1069.988281	105.956810
1068.875977	106.375099
1067.762695	106.808418
1066.650391	108.027908
1065.537109	108.881660
1064.423828	106.859665
1063.309570	107.206276
1062.196289	105.433907
1061.082031	105.436043
1059.967773	104.247498
1058.852539	104.133369
1057.738281	103.016518
1056.623047	102.284966
1055.507812	102.515556
1054.391602	102.543587
1053.276367	102.207283
1052.160156	102.356766
1051.042969	101.464279
1049.926758	102.139740
1048.809570	102.567177
1047.693359	102.231194
1046.575195	102.557335
1045.458008	102.448830
1044.339844	103.098038
1043.221680	102.348106
1042.103516	102.724388
1040.985352	102.590675
1039.866211	103.072701
1038.747070	102.918777
1037.627930	102.739685
1036.508789	102.278236
1035.388672	102.371628
1034.268555	102.530502
1033.148438	103.536011
1032.027344	103.563530
1030.907227	102.492805
1029.786133	102.792503
1028.665039	102.029572
1027.542969	104.488983
1026.420898	109.801170
1025.298828	104.498146
1024.176758	104.203362
1023.054688	102.776962
1021.931641	103.126366
1020.808594	103.264442
1019.685547	104.156441
1018.561523	104.671127
1017.438477	104.527374
1016.314453	104.293259
1015.189453	103.642403
1014.065430	104.287254
1012.940430	104.183846
1011.815430	103.141945
1010.690430	104.734810
1009.564453	104.465790
1008.439453	104.061462
1007.313477	104.108604
1006.186523	104.336197
1005.060547	104.744110
1003.933594	104.370110
1002.806641	104.983231
1001.678711	104.879807
1000.551758	104.380806
999.423828	104.978470
998.295898	104.995224
997.167969	104.086143
996.039062	104.738480
994.910156	104.129982
993.781250	104.501938
992.652344	104.868729
991.522461	105.110374
990.392578	104.922104
989.262695	104.708916
988.132812	104.325974
987.001953	104.018112
985.871094	104.214691
984.740234	104.126625
983.609375	103.714172
982.477539	105.352760
981.345703	104.995071
980.213867	104.527809
979.081055	105.292435
977.949219	104.526161
976.816406	104.677353
975.682617	105.182274
974.549805	105.970955
973.416016	104.786766
972.282227	105.943680
971.148438	104.511063
970.013672	106.045815
968.879883	104.922348
967.744141	105.884117
966.609375	105.711281
965.474609	104.827332
964.338867	105.097313
963.203125	105.009254
962.066406	106.128922
960.930664	106.795921
959.793945	106.046799
958.657227	106.241661
957.519531	106.188156
956.382812	106.804863
955.245117	106.900131
954.107422	107.020164
952.968750	107.383224
951.831055	108.028839
950.692383	107.404671
949.552734	106.830353
948.414062	108.536354
947.274414	108.408028
946.134766	107.868523
944.995117	108.339737
943.855469	107.300293
942.714844	107.568405
941.574219	107.351288
940.432617	109.202904
939.291992	109.025078
938.150391	108.778069
937.008789	108.516327
935.867188	108.447525
934.724609	107.953613
933.582031	108.512619
932.439453	108.033714
931.296875	109.274162
930.153320	108.637238
929.009766	108.998039
927.866211	109.422836
926.722656	108.736923
925.578125	109.186249
924.433594	108.633881
923.289062	109.092873
922.143555	110.029976
920.998047	109.517197
919.852539	109.182083
918.707031	110.359970
917.561523	108.867004
916.415039	109.300644
915.268555	109.891655
914.121094	110.201759
912.974609	108.843033
911.827148	109.010498
910.679688	108.789185
909.531250	108.951645
908.383789	108.317322
907.235352	110.549774
906.086914	109.060020
904.937500	108.460472
903.789062	110.917374
902.639648	109.801857
901.489258	109.870453
900.339844	109.978279
899.189453	109.757149
898.039062	109.064941
896.888672	110.271988
895.737305	110.124496
894.585938	110.001579
893.434570	110.751541
892.283203	110.702057
891.130859	109.951698
889.978516	110.544327
888.826172	110.421402
887.673828	111.625893
886.520508	110.072861
885.367188	110.948845
884.213867	111.183212
883.059570	111.852997
881.906250	110.956871
880.751953	110.325279
879.596680	110.779602
878.442383	110.862129
877.287109	110.969048
876.131836	112.087517
874.975586	111.143631
873.820312	111.377388
872.664062	112.084740
